episode,ticker,asset_name,group,start_value,end_value,min_value,max_drawdown,volatility,total_return_pct,volatility_pct
2022 Inflation Shock,ARKK,Innovation Stocks,New money,100.0,32.209508081203545,30.559852811748662,-69.44014718825133,0.04271920231422131,-67.79049191879645,4.271920231422131
2022 Inflation Shock,BTC-USD,Bitcoin,New money,100.0,35.736674111208025,33.98175633328339,-66.73961608979899,0.0333879629811463,-64.26332588879197,3.33879629811463
2022 Inflation Shock,GLD,Gold,Old money,100.0,100.77823177350673,89.84137948226358,-21.032844203783363,0.009595498137424007,0.7782317735067323,0.9595498137424007
2022 Inflation Shock,KRE,Regional Banks,Old money,100.0,83.36692093448099,79.15109796237338,-27.490048562186743,0.01762667439858047,-16.633079065519013,1.7626674398580469
2022 Inflation Shock,QQQ,Nasdaq 100,New money,100.0,66.78013385456364,65.17203018475799,-34.827969815242014,0.020281352439516235,-33.219866145436356,2.0281352439516236
2022 Inflation Shock,SMH,Semiconductors,New money,100.0,65.03400635618003,54.86374657755591,-45.13625342244409,0.02684172389220522,-34.96599364381997,2.6841723892205223
2022 Inflation Shock,SPY,S&P 500,Baseline,100.0,81.35359954102185,75.50361908497462,-24.496380915025384,0.015296743878094826,-18.64640045897815,1.5296743878094825
2022 Inflation Shock,TLT,Long Bonds,Old money,100.0,70.61924318909989,65.06692800588928,-34.93307199411072,0.01274704599219819,-29.38075681090011,1.274704599219819
2022 Inflation Shock,XLE,Energy,Old money,100.0,159.3853772743268,100.0,-26.04372086545611,0.022192126928221666,59.3853772743268,2.2192126928221665
2022 Inflation Shock,XLF,Financials,Old money,100.0,88.32781249626531,77.74203219804139,-25.805336641174502,0.01543855646599055,-11.67218750373469,1.5438556465990552
2022 Inflation Shock,XLK,Technology,New money,100.0,71.59429393345982,66.86867238793147,-33.13132761206853,0.020710939892435037,-28.405706066540176,2.071093989243504
2022 Inflation Shock,XLU,Utilities,Old money,100.0,102.459251442893,88.68277463025733,-20.715972270113525,0.01346551005705181,2.459251442893006,1.346551005705181
AI Rally,ARKK,Innovation Stocks,New money,100.0,187.92992277680233,100.0,-32.113750103757056,0.024024977579874967,87.92992277680233,2.4024977579874967
AI Rally,BTC-USD,Bitcoin,New money,100.0,560.1319049794223,100.0,-26.18203300847659,0.025635769171313813,460.1319049794223,2.5635769171313814
AI Rally,GLD,Gold,Old money,100.0,141.5468305498338,98.41576552452021,-11.347406182165143,0.008960303678884646,41.5468305498338,0.8960303678884646
AI Rally,KRE,Regional Banks,Old money,100.0,110.32901314771291,62.37619087038363,-43.843142266557514,0.021293266780531395,10.329013147712914,2.1293266780531397
AI Rally,QQQ,Nasdaq 100,New money,100.0,195.78839682047376,98.90349321881337,-13.557734543174893,0.01130124284914953,95.78839682047376,1.1301242849149529
AI Rally,SMH,Semiconductors,New money,100.0,243.0326069625544,100.0,-24.816010281254318,0.019814399720024932,143.0326069625544,1.981439972002493
AI Rally,SPY,S&P 500,Baseline,100.0,158.24266803090947,99.62188238755864,-9.97430402743702,0.008074957627877438,58.24266803090947,0.8074957627877438
AI Rally,TLT,Long Bonds,Old money,100.0,92.72243638366184,83.58985333049496,-22.444203882867807,0.010323324925229613,-7.277563616338156,1.0323324925229613
AI Rally,XLE,Energy,Old money,100.0,108.70939396670798,91.196703125716,-17.33431561304386,0.012837280229536138,8.709393966707978,1.2837280229536139
AI Rally,XLF,Financials,Old money,100.0,145.75197100343112,90.26807053580693,-16.270249560564643,0.009583209595867332,45.75197100343112,0.9583209595867331
AI Rally,XLK,Technology,New money,100.0,191.58280141868676,98.31251970415865,-16.97239694960485,0.012889811480963772,91.58280141868676,1.288981148096377
AI Rally,XLU,Utilities,Old money,100.0,114.46482970109102,81.59121677194835,-20.19725593549119,0.010496101943409157,14.46482970109102,1.0496101943409157
COVID Crash,ARKK,Innovation Stocks,New money,100.0,118.1215798412504,57.462315554311374,-42.537684445688626,0.042255327109868734,18.121579841250394,4.225532710986873
COVID Crash,BTC-USD,Bitcoin,New money,100.0,94.85753485092332,51.59959037316105,-49.914048465841375,0.05063460131160054,-5.142465149076685,5.063460131160054
COVID Crash,GLD,Gold,Old money,100.0,110.26418243637805,90.94143184124104,-12.527726112612392,0.014906470448950085,10.26418243637805,1.4906470448950084
COVID Crash,KRE,Regional Banks,Old money,100.0,70.03226890334243,50.86012767158953,-49.5905946553739,0.0545973792554579,-29.967731096657573,5.45973792554579
COVID Crash,QQQ,Nasdaq 100,New money,100.0,104.88614042937606,71.44063108975308,-28.559368910246917,0.032287227020069455,4.886140429376056,3.2287227020069453
COVID Crash,SMH,Semiconductors,New money,100.0,100.36126733241733,66.37767429669208,-33.62232570330792,0.040592363761686207,0.3612673324173272,4.059236376168621
COVID Crash,SPY,S&P 500,Baseline,100.0,92.07844451695543,66.28274665562816,-33.71725334437185,0.03250192967897837,-7.921555483044571,3.250192967897837
COVID Crash,TLT,Long Bonds,Old money,100.0,113.2647287722133,99.33564298730236,-15.727719567571551,0.02028264803041951,13.264728772213303,2.0282648030419512
